delta,prods
0.0782216408881538,1
0.01507949063940516,2
0.013986343518978758,3
0.0330588376001592,4
0.043065543764253485,5
0.004611936407273257,6
0.021140568050529725,7
0.0034633718517318945,8
0.021193796779844568,9
0.005277188194812147,10
0.023952987638926844,11
0.018154732190817983,12
0.0013802380192054617,13
0.024188668706871624,14
0.0404365999647756,15
0.1769136415370316,16
0.11233805177815258,17
1.645543170559853,18
0.028412458482068935,19
0.037823306916440834,20
0.04242529977821896,21
0.20119340905640382,22
0.0054857957484823455,23
0.022178180763981977,24
0.004424869291265099,25
0.05373495947329213,26
0.011123630391055272,27
0.01797512992063446,28
0.004867844938381812,29
0.013887466790666344,30
0.014827226614509805,31
0.023643354545695675,32
0.0035909794766590683,33
0.002189708911317961,34
0.006852743175428307,35
0.05699254685583483,36
0.38640460075208605,37
4.093415382027675,38
0.0793918463674893,39
0.28535251696751723,40
0.008596951259606524,41
0.007612024536542534,42
0.012107639690599425,43
0.013147650406338595,44
0.007191080979942647,45
0.013909187307610081,46
0.00938764416254848,47
0.030292094011679656,48
0.0023800100003999354,49
0.011212577962098501,50
0.0034455021728184566,51
0.0005568256431512761,52
0.00075051750028011,53
0.004099106217288818,54
0.001769126832170976,55
0.00660979986157819,56
0.0008363328669449436,57
0.0009831321920372878,58
0.0031622231759427973,59
0.007991540093684359,60
0.003910706898219222,61
0.0003461976218129498,62
0.0008081441641829554,63
7.370874586041121e-5,64
0.00064652418600516,65
0.0007895567200358727,66
0.0002901813896883862,67
0.000743333609304926,68
0.0004903212580368504,69
0.0015569792237301045,70
0.0011874834215657608,71
0.00023150066404936328,72
0.0008354038911573648,73
0.0022643469346087224,74
0.0005026888429689004,75
0.062179463948542776,76
0.030886623124862553,77
0.05047016197332,78
0.04897103738118411,79
0.15921559980148592,80
0.013159462607038019,81
0.03419016421187145,82
0.01139126121851754,83
0.03058586808176297,84
0.020759439205666218,85
0.012769725374911263,86
0.007670050175555159,87
0.0026729248396074714,88
0.0025012451592763617,89
0.025077077141593913,90
0.031219873181120277,91
0.0505621498617069,92
0.15563222534213839,93
0.12112909801884168,94
0.11663689479342777,95
0.008933205705865518,96
0.000691898390975911,97
0.00026917028353403566,98
0.00011025074865386665,99
7.63206836802018e-5,100
0.0005574613713944662,101
0.0013331342438464464,102
0.0008157656306594856,103
0.04561999988504663,104
0.05900141091640254,105
0.011192094216579821,106
0.0002915425928422764,107
0.0003419440639060883,108
0.00020296033493152614,109
0.00018595179282255954,110
4.216275888041728e-5,111
0.0004441503078420171,112
0.0001106320639232549,113
7.082348298378443e-5,114
9.58378378225494e-5,115
6.303461917856913e-5,116
8.469299736662956e-5,117
6.17170368112076e-5,118
6.238690933628277e-5,119
1.448002432686602e-5,120
0.3496101141063422,121
