delta,prods
-2.37540452253968,1
-3.3848868204200757,2
-3.4347955715247047,3
-2.4291452961528224,4
-2.5822436704274936,5
-3.8512742106961184,6
-2.922759885448472,7
-5.165534350566023,8
-3.7616864816898703,9
-4.177156608712253,10
-3.391267879398632,11
-4.4513251943411065,12
-5.934613372931736,13
-4.41512066107242,14
-3.979265669497688,15
-2.970515094617504,16
-3.431762586578776,17
-1.519983414929024,18
-4.817949855994436,19
-4.384632825455398,20
-3.961323566798509,21
-1.3619654254895313,22
-4.494821043965571,23
-3.3047443779099854,24
-4.345218620914932,25
-2.188631337966642,26
-3.223234993033673,27
-3.0006670467245073,28
-4.349263736757472,29
-3.3121246817967807,30
-3.400588799800776,31
-2.9656644022923766,32
-5.794428410843005,33
-5.715499414710727,34
-4.89379778119061,35
-3.9375955107157035,36
-3.0266010109014045,37
-1.0370940910341577,38
-4.137907459660456,39
-2.254491997535881,40
-4.678943136728026,41
-3.56252435831723,42
-3.4761682581644897,43
-3.0543974728896583,44
-3.4706008023673993,45
-3.0340716793410043,46
-4.417591223009958,47
-2.989157626777163,48
-4.376028212870845,49
-3.2583519498430076,50
-5.170953501611229,51
-6.02082103815205,52
-5.9247853613404455,53
-3.5463648174581595,54
-4.336157375196679,55
-3.223283249861613,56
-5.667139677611696,57
-5.046642537422645,58
-3.702159955471681,59
-2.9883716147681447,60
-3.807772280948146,61
-4.909133692921639,62
-4.504778645865706,63
-6.394567515731561,64
-4.3620157058211895,65
-5.585887885566495,66
-5.235371542430803,67
-4.834870586682732,68
-5.777953381385578,69
-4.339745855881595,70
-4.61225788854686,71
-5.979384026881734,72
-4.92361590532943,73
-4.080142841902337,74
-5.164902491072883,75
-2.198354350596336,76
-2.492903062013614,77
-2.108331322565521,78
-1.8528493607535967,79
-1.0709636895773358,80
-3.6384470343765036,81
-2.2095353074486668,82
-3.554653582571811,83
-2.5587119662817193,84
-4.619049470002963,85
-3.336450407267619,86
-5.37947451761882,87
-5.67295259022452,88
-5.643092618763536,89
-4.55375742755053,90
-4.550761251519781,91
-4.126169424895038,92
-2.4508654245836206,93
-1.7346690299647824,94
-1.827639028780458,95
-4.402207799358529,96
-5.27220682521255,97
-5.753216930216021,98
-6.970088280574106,99
-7.372537488926394,100
-5.2407440973313735,101
-4.7582181088188715,102
-5.828536519874586,103
-2.99916385696359,104
-2.6032428073055884,105
-3.6997735504547373,106
-5.154385516438302,107
-5.132478832633783,108
-5.779689724306703,109
-5.851153175380935,110
-6.77110145544239,111
-4.974578147446039,112
-6.403912780548551,113
-4.932330876480575,114
-5.153520109872926,115
-5.770631042574986,116
-5.4681080553529,117
-5.238403761557287,118
-5.132019013596772,119
-6.063258695590946,120
-0.6021558479240487,121
-0.7963731489639068,122
-2.1004890545064523,123
-3.1722767707434203,124
-2.1695835503720757,125
-3.361378047636583,126
-3.9726671174981636,127
-3.493624969150929,128
-2.7907862533424757,129
-6.506441131723461,130
-3.073999143860767,131
-3.299973119687528,132
-2.868229323630372,133
-2.38102890768263,134
-2.8986926049626645,135
-3.2826429160530073,136
-3.732403594663441,137
-4.728711308925809,138
-4.351115782300332,139
-3.3363211650637137,140
-4.261184013787701,141
-4.3901899847230235,142
-4.626388950237412,143
-3.3351226149177493,144
-4.698089387656721,145
-3.638512182426986,146
-5.897615872940519,147
-8.058184546205316,148
-2.323066662327056,149
-3.553212090780882,150
-1.7327032238083693,151
-5.779305068693388,152
-6.21439695021165,153
-8.404852343564741,154
-4.773314187938518,155
-6.543896666882278,156
-5.136024622356515,157
-4.9040339682218015,158
-3.888013326750702,159
-4.771513812328577,160
-6.273742777014508,161
-6.276480203958896,162
-3.550020856039306,163
-4.717404492091314,164
-4.264484589998404,165
-3.4282836150319955,166
-1.2891430120182306,167
-2.501189000623938,168
-2.3297630522519435,169
-1.9676739632733966,170
-2.1072888158499667,171
-1.7981909439746238,172
-2.5630005345647526,173
-3.804265987810687,174
-4.873960311265502,175
-3.3916338549140126,176
-2.9795338617694798,177
-3.410503944118402,178
-3.959734032287902,179
-3.774699254426445,180
-3.3479921247635533,181
-2.062301938692721,182
-0.3362150067905745,183
-1.9654764634295714,184
-1.9111127955512606,185
-1.7339176190838494,186
-1.5596234701305485,187
-0.8504350077339815,188
-2.7440289608037842,189
-3.406127136578841,190
-3.1296383480172634,191
-2.299765205100499,192
-1.672742372712368,193
-1.1619374649510132,194
-2.91809454625979,195
-2.0549141732194105,196
-2.9025123631551772,197
-2.3937535702476573,198
-2.0592645329056136,199
-2.4059190872285128,200
-2.0162158288296754,201
-2.36438029120863,202
-2.3671481825696765,203
-1.816479910841541,204
-0.7428719057855109,205
-0.2057184391143898,206
-5.5501838081927835,207
-8.147047012494054,208
-5.286971261090955,209
-4.615890511260588,210
-5.660427706666124,211
-3.5798220731395007,212
-6.8449788622904775,213
-7.098868951260832,214
-8.864838014103748,215
-7.641876834592492,216
-5.716601046562385,217
-7.54446418057458,218
-4.3650121036268015,219
-5.0396809719853195,220
-8.170384198334476,221
-5.401537461235654,222
-4.723028173589597,223
-5.330466173893058,224
-5.84699864764089,225
-3.6897466361479094,226
-5.356934070880185,227
-3.766826671540121,228
-4.449247158634997,229
-5.580893443192731,230
-2.976818228551141,231
-6.530123457692128,232
-8.078588001923535,233
-5.150522027087304,234
-8.14308657678129,235
-4.700945479453506,236
-4.45237848089649,237
-8.356649616243578,238
-7.44318434601592,239
-6.2614647884281665,240
-1.8727545880507024,241
-0.22289279927802563,242
-0.9943262446357295,243
-1.583006082798001,244
-0.41457490144985965,245
-0.43397181216563396,246
-0.20599236374615937,247
-0.38418189805051006,248
0.4001460499791838,249
0.14328276721102884,250
-0.11720212935592378,251
-0.30355949173985053,252
-0.984107093768626,253
-1.102198634221883,254
-1.0836667644289255,255
-1.3368035611444604,256
-1.072600859949533,257
-1.160965143603777,258
-1.3070777176627764,259
-1.6439450721381572,260
-0.8026757617151383,261
-1.0581616042818327,262
-0.915023375802209,263
-1.7279168748024873,264
-1.488019993820978,265
-3.273524299118044,266
-2.8358457213321646,267
-3.6757540838008165,268
-2.9559625363078394,269
-0.4375527845409184,270
-1.2613181026356024,271
-1.2160737324826187,272
-0.385754370915,273
-0.3400370651180733,274
-0.30030683874151576,275
-0.19803466675469306,276
-0.21334595717205196,277
-0.0582918350023971,278
-0.4760650701437763,279
-0.8251289866170723,280
-1.6267873360346004,281
-1.2236550554763075,282
-0.7963224436559606,283
-2.099364870311789,284
-1.0652636830866378,285
-3.5327466914815115,286
-1.8555141281890601,287
-2.428913482811012,288
-3.085169249110783,289
-0.6129112087617785,290
-1.1785411939859158,291
-2.1979243085552493,292
-2.7007530067426617,293
-2.92297424328174,294
-2.4261365009261264,295
-2.0969865114804445,296
-2.258979451627384,297
-2.2233181447653494,298
-1.9637593370324948,299
-2.0366196281836553,300
-1.9320961132518608,301
