pars
-0.326573
-0.861207
1.56964
1.49424
0.00298468
0.0711555
0.0437188
0.577937
0.337729
0.00181465
0.0197669
-0.487562
-0.272428
-0.335795
-0.312408
-1.01044
6.84523
-0.0410552
0.245715
0.0262984
-0.776266
