pars
-0.267547
0.172869
0.148673
0.089682
0.0850029
0.0256678
0.0454084
0.00543976
0.225765
-0.0382547
0.0666707
-0.096798
-0.275053
-0.247825
-0.154865
0.354647
0.046289
-0.0476047
-0.159706
-0.216013
-0.122205
